exp_id,model,features,preprocessing,hyperparams,cv_strategy,cv_mean,cv_std,best_fold,worst_fold,runtime_sec,notes,conclusion
exp001,LightGBM,"all raw (9 numeric + 3 categorical, native handling)",none (native NaN + categorical handling),"{'n_estimators': 5000, 'learning_rate': 0.03, 'num_leaves': 63, 'max_depth': -1, 'min_child_samples': 50, 'subsample': 0.8, 'subsample_freq': 1, 'colsample_bytree': 0.8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 42, 'verbosity': -1}",StratifiedKFold n=5 seed=42,0.96384,0.000557,0.96469,0.96301,295.7,"first baseline, no FE, no tuning","KEEP as reference point. 0.0075 below public #1 (0.97134); notifications_per_day/app_opens_per_day/daily_screen_time_hours/work_study_hours dominate importance, categoricals contribute least (matches univariate AUC ranking). Fold std 0.00056 -> CV is a trustworthy signal at ~0.0002-0.0005 resolution."
exp002,none (diagnostic),"top 5 numeric features, qcut(20) binning",none,none,none (binned target-rate table),n/a,n/a,n/a,n/a,~5,binned target rate by feature quantile + row missing-count vs target + 2D interaction table,"KEEP conclusion. daily_screen_time_hours/weekend_screen_time/social_media_hours show clean sigmoid-shaped target rate -> generator likely p=sigmoid(linear combo), Bernoulli sampled. Row missingness count uncorrelated with target (r=0.0025) -> do not engineer a missing-count feature. Flagged notifications_per_day/app_opens_per_day binned curves as flat/non-monotonic despite high exp0 LGBM univariate AUC -> contradiction queued for exp002b."
exp002b,none (diagnostic),"notifications_per_day, app_opens_per_day, daily_screen_time_hours, social_media_hours",none,"raw-value AUC + 1-feature LogisticRegression, 5-fold OOF",StratifiedKFold n=5 seed=42,n/a,n/a,n/a,n/a,~10,verify exp0's LGBM univariate AUC against a lower-variance linear estimator,"CONFIRMED exp0 inflated notifications_per_day (0.743->0.508, noise) and app_opens_per_day (0.733->0.541, weak-real) via depth-4/200-tree overfitting on a single noisy continuous feature. daily_screen_time_hours/social_media_hours confirmed real (logistic AUC actually higher than LGBM's, consistent with sigmoid-of-linear structure). LESSON: small-GBM univariate AUC is not a safe diagnostic for continuous features at this N; prefer raw-value/logistic AUC."
exp003,none (diagnostic),all 9 numeric features,none,"raw-value AUC + 1-feature LogisticRegression, 5-fold OOF",StratifiedKFold n=5 seed=42,n/a,n/a,n/a,n/a,~15,rebuild trustworthy univariate ranking for all numeric features after exp002b,"KEEP as reference ranking. Only 5 of 9 numeric features carry real monotonic signal: daily_screen_time_hours (0.890), weekend_screen_time (0.881), social_media_hours (0.858), work_study_hours (0.655), gaming_hours (0.622). Remaining 4 (sleep_hours 0.527, app_opens_per_day 0.541, notifications_per_day 0.508, age 0.502) are near noise floor, same tier as the 3 categoricals (0.50-0.51). 7 of 12 total features are effectively decorative."
exp084,Stacking meta-learner comparison (logistic regression vs shallow LightGBM) on 3 base-model OOF predictions,"3 OOF prediction columns (lgbm-tuned, catboost, xgboost-tuned)",none,LR: max_iter=1000 default C; LightGBM: n_estimators=200 max_depth=3 num_leaves=7 lr=0.03 reg_alpha=1 reg_lambda=1,"StratifiedKFold n=5 seed=42 on OOF arrays (proper nested eval, not fit-and-eval-in-sample)",LR=0.96743 GBM=0.96743,n/a,n/a,n/a,~5,testing whether non-linear stacking beats exp080's Nelder-Mead linear blend (0.96747),"REJECT. Both LR (0.96743) and shallow LightGBM (0.96743) stackers underperform the Nelder-Mead linear blend (0.96747) by the same -0.00004. Base models are too highly correlated (pairwise 0.994-0.997, per exp080) for stacking to extract additional signal beyond a simple linear blend. Ensemble-strategy investigation complete -- linear blend remains best."
exp085,"XGBoost (tuned) with pseudo-labeling vs baseline, leakage-safe fold-wise comparison",current best (13) + 9 consensus OpenFE features,"pseudo-labels: 150427 confident test rows (prob<0.02 or >0.98) added to each fold's training set only, never to validation","exp075 tuned params, n_estimators=6000 early_stopping=100","StratifiedKFold n=5 seed=42, validated on real train only (pseudo-labels excluded from validation)",baseline=0.96732 pseudo=0.96731,n/a,n/a,n/a,1228.0,"testing whether confident test pseudo-labels add genuine signal (synthetic generator, test likely same distribution as train)",TBD
exp086,"XGBoost, exploratory: OpenFE discovery WITH categorical columns included (single-seed nested holdout)",consensus-9 baseline + top-40 OpenFE candidates from NUM_COLS+CAT_COLS search (40 materialized),categorical_features=CAT_COLS passed to OpenFE.fit(),"n_estimators=2000 max_depth=6 lr=0.06 early_stopping=75 (untuned, exploratory)","single 80/20 nested holdout (discover on 80%, evaluate on held-out 20%) -- NOT the full 5-fold/3-seed consensus methodology, exploratory only",base=0.96604 aug=0.96614,n/a,n/a,n/a,347.6,2/40 top candidates involved a categorical column despite categoricals having ~0.50 standalone AUC (phase0 forensics) -- testing if GroupBy-style interactions add signal beyond univariate noise,TBD
exp088,"XGBoost (tuned), generator-artifact features test (other_screen residual + decimal/fractional-part features)",consensus-9 baseline (22) + 14 generator-artifact features,other_screen = daily_screen_time_hours - (social_media+gaming+work_study); decimal-fraction string-length and first-digit per time column,exp075 tuned params,"StratifiedKFold n=5 seed=42, full-data CV",base=0.96732 aug=0.96754,n/a,n/a,n/a,1218.0,"sourced from Kaggle discussion threads 733541/734990, independently validated by original authors via 10-fold ablation + adversarial validation + null-importance testing before we tested it ourselves","('KEEP, new session-best on XGBoost alone. +0.00022, and EVERY fold improved individually (fold0 +0.00029, fold1 +0.00022, fold2 +0.00015, fold3 +0.00027, fold4 +0.00018) -- a stronger consistency signal than CatBoost tuning had when we rejected it, and bigger than XGBoosts own earlier HPO gain (+0.00011). Sourced from independently-validated community discussion (10-fold ablation + adversarial validation + null-importance testing on their end), verified via our own 5-fold CV before adopting. Next: roll out to LightGBM and CatBoost, rebuild ensemble.',)"
exp089,"Ensemble (LGBM+CatBoost+XGBoost, all tuned, consensus-9 + generator-artifact features)","consensus-9 (22) + 14 generator-artifact features, all 3 models",other_screen residual + decimal/fractional-part artifact features (exp088),Nelder-Mead weight optimization on OOF,"StratifiedKFold n=5 seed=42, full-data CV",0.96771,n/a,n/a,n/a,1058.2,lgbm=0.96726 catboost=0.96686 xgboost=0.96754(exp088),"('KEEP, new session-best. 0.96771, +0.00024 over exp080 (0.96747). All 3 models improved consistently when artifact features were added: lgbm +0.00028, catboost +0.00027, xgboost +0.00022 -- strong corroborating evidence this is real signal, not noise. Community-sourced technique (other_screen residual + decimal-fraction artifacts), verified via our own rigorous CV before adopting, same as OpenFE was earlier this session. Next: build submission_v12.',)"
exp092,"XGBoost (tuned), expanded consensus test (new-25 discovery incl. artifact cols, 20 new-only features)",36-feature baseline (base+ratios+consensus9+artifacts) + 20 new-only consensus features from exp091,3-seed consensus discovery with NUM_COLS+artifact_cols candidate space,exp075 tuned params,"StratifiedKFold n=5 seed=42, full-data CV",base=0.96754 expanded=0.96772,n/a,n/a,n/a,1610.8,"14/25 (56%) of exp091's consensus-3 features involved an artifact column, consistent across all 3 seeds -- much stronger signal than the categorical test's 1/40 noise","('KEEP. +0.00018, every fold improved individually (fold0 +0.00023, fold1 +0.00019, fold2 +0.00023, fold3 +0.00013, fold4 +0.00011). Smaller than exp088s original artifact-feature gain (+0.00022), consistent with diminishing returns on this thread, but still real and consistent. XGBoost alone: 0.96732 (base) -> 0.96754 (artifacts) -> 0.96772 (expanded consensus). Next: roll out to LightGBM+CatBoost, rebuild ensemble, build v13.',)"
